,Anno,Codice_Nazionale,Codice_Istat,Denominazione Italiana,Provincia,Sigla Provincia,Codice_Provincia,Regione,Sigla Regione,Codice_Regione,AreaGeo,CAT_DET_COD_1,CAT_DET_COD_2,CAT_DET_COD_3,CAT_DET_COD_4,CAT_DET_COD_5,CAT_DET_COD_6,CAT_DET_COD_7,COEFF_TEORICO,IND1,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,LQP_COD_1,LQP_COD_2,LQP_COD_3,LQP_COD_4,LQP_COD_5,LQP_COD_6,LQP_COD_S
19,2010,B037,6020.0,Borgo San Martino,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.11421743699999999,0.188196979,0.112316893,0.01333679,0.54465031,0.0,0.027281591,2.2251500000000002e-05,58.72627986,74.72955202,-29.91495806,2663.352207,12.38278916,0.0,0.008928571,0.0,2.730375427,74.72955202,-29.91495806,0.0,0.0,10.0,3.0,2.2
20,2010,B071,6021.0,Bosco Marengo,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.17112530399999998,0.156303876,0.097954222,0.032855902,0.5158875620000001,0.0009661310000000001,0.024907004,5.7048999999999995e-05,63.26421011,27.84283194,-34.68085505,2571.224186,23.89806043,0.0,0.31007751899999997,0.0,5.88004704,27.84283194,-34.68085505,0.0,0.0,8.0,2.0,2.4
21,2010,B080,6022.0,Bosio,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.370879777,0.092912816,0.070517802,0.030990728999999998,0.42575029700000006,0.000554892,0.008393687,4.64662e-05,115.15657790000002,38.76457872,-3.541874341,1753.4918300000002,1.228976815,0.0,0.0,0.0,0.807102502,38.76457872,-3.541874341,0.0,0.0,8.0,5.0,4.2
22,2010,B109,6023.0,Bozzole,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.245998647,0.09615451,0.082798118,0.041204492999999995,0.5175316529999999,0.001730889,0.01458169,6.49385e-06,89.21269841,95.56496051,-31.93117738,4192.200973,0.0,0.0,0.0,0.0,0.0,95.56496051,-31.93117738,0.0,0.0,10.0,2.0,1.6
23,2010,B179,6024.0,Brignano-Frascata,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.24160936,0.079089437,0.052905577,0.04508807,0.560009882,0.0,0.021297673,2.0061900000000002e-05,164.92982460000002,69.41382469999999,55.82382015,1193.334539,1.586712237,0.0,0.0,0.0,2.1929824559999997,69.41382469999999,55.82382015,0.0,0.0,9.0,9.0,6.2
24,2010,B311,6025.0,Cabella Ligure,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.32473379399999996,0.10005772199999999,0.03120602,0.043521881,0.482221584,0.008323701,0.009935298,4.1521800000000006e-05,175.0381944,9.732522016,86.48435199,751.5381553,0.7454108779999999,0.0,0.0,0.0,1.736111111,9.732522016,86.48435199,0.0,0.0,6.0,10.0,8.0
25,2010,B453,6026.0,Camagna Monferrato,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.18544603,0.113675395,0.079266405,0.059498971,0.5370822239999999,0.000899207,0.024131767000000002,1.4215999999999999e-05,52.62923729,-10.82707765,-17.0159212,252.42726290000002,3.59949823,0.0,0.0,0.0,2.118644068,-10.82707765,-17.0159212,0.0,0.0,4.0,4.0,5.2
26,2010,B482,6027.0,Camino,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.207993741,0.12381354900000001,0.07176982900000001,0.0,0.481151624,0.0073932880000000005,0.107877968,2.6001700000000002e-05,99.84938272,40.56756726,136.9623452,1713.7928989999998,0.0,0.0,0.0,0.0,0.0,40.56756726,136.9623452,0.0,2.0,8.0,10.0,7.2
27,2010,B629,6028.0,Cantalupo Ligure,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.25676939,0.13230648,0.039977786,0.019659685,0.510346147,0.002229985,0.038710526,2.83879e-05,115.6100179,2.87968689,179.0244715,809.1945618,1.252119212,0.0,0.0,0.0,1.788908766,2.87968689,179.0244715,0.0,2.0,6.0,10.0,8.0
28,2010,B701,6029.0,Capriata d'Orba,Alessandria,AL,6.0,Piemonte,PIE,1.0,Nord-ovest,0.181824819,0.14344675199999998,0.090706229,0.0,0.564137501,0.00071831,0.019166388,3.84919e-05,67.49230769,54.51674532,-40.4249404,1959.2139329999998,17.8638152,0.0,0.0,0.0,6.153846154,54.51674532,-40.4249404,0.0,0.0,9.0,2.0,2.0
